based on onionoo data from 2015-06-03 20:00:00

likely false positives (see timeing+AS+old list):
- siccam
- Cannabinoid420
- 467A957A5923616A92B63E69030C547F1C546370
- DF6D49F7FF2327B8383B07521CDDF3DF12B5638D
- 9D5BA8ACB8EDFD41F82351B563738CC4DE354A52
- Hackosaurusrex
- 6C405EC95C51E1D796392AAE29CF35B9E9B3468F

+---------------------+---------------------+------+------+---------------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------+
| first_seen          | last_restarted      | orp  | dirp | platform                  | cc   | as_name                             | nickname           | fingerprint                              | flags               |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:02 | 9004 | 9033 | Tor 0.2.4.27 on Linux     | us   | Net Access Corporation              | Loki               | CC9A5AF154795AEC18CAF781D50A67C3FE218770 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9009 | 9038 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | RiotSpiral         | EC6196D7E642F0FA0D715014D5262989F3973D53 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | EliteRelay         | 937D4CDE156AC7051B98CA2B9CA824D6D3552F02 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9010 | 9039 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | OpticalRelay       | 2CE02322DC3462D5B943F2553DB6DCDE12533415 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9004 | 9033 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | JungleOfTheUnhappy | 25AC37B91D8297D59F82E4131F414B4652BB0C8A | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9003 | 9032 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | Scorpio            | B8D84556E8BDC31949FCB68296CA691E530C5ABD | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9001 | 9030 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | kanpai             | B429EC313027021D26738F2143600ACEB3289D3B | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9002 | 9031 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | Maru               | F57F148D68860163C868AC83D808027DFD64BD16 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9006 | 9035 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | SumoConfidence     | AAECD6DE29A7188D69DB02CE137D40BD24C60786 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9007 | 9036 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | RelayOfTheMiracle  | CFAA1F5599FE2BB5ECC04006B4F97A4EE6E2B852 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9008 | 9037 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | PornoLiberation    | 5959037B50C40BCC6E5AA47D0C68296586B5D4B2 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9008 | 9037 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | EstrangedAir       | 6CCE6990E1CD2903BA6E4ED65C8A04146CBF70FB | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9010 | 9039 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | PatheticOcean      | FF54E2CA8EB69302868B9A9CDF96B0620D20FF76 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9004 | 9033 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | RumpFrolic         | 39C83F9DF58C3030E98D315F5A04CA40BB6485A8 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9003 | 9032 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | VegetableJockey    | 8C5E66C44CAA8BB3C201291BB7734165B87A9733 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9006 | 9035 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | LanceHumor         | 1BFB7296063BFFB946F5C9D8A0977FA2AB6B3C4D | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | jp   | KDDI CORPORATION                    | RiskSlide          | EDB09E769A552F88C4235E24F2E25FF7AC21505F | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:14 | 9010 | 9039 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | DerelictWhale      | 012FAF961E20C65508D429560E025128CB749E5E | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9003 | 9032 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | FairSharp          | DD06FF26F9FA3FB4733DAC253E66D116137BCCEF | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9008 | 9037 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | CrapMage           | E202901A52312E426B5F5BD0E1B2280E248D18A8 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9006 | 9035 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | UndefeatedAlloy    | 9D8E9B4F3958D24EFE9EA57FAC37EE4A88FDB929 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9001 | 9030 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | GarlicPriest       | 2B270401D63984CC7D59F07E706D6BFB9E9189A3 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9007 | 9036 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | DidacticTerrorism  | 45EC4311436B17A4CE4505872D274863FD4DF0BC | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | CinematicPlunger   | 44263033E7947F30F53EDCCE0EF59B79A2209160 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9009 | 9038 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | NebulaScript       | 570F6912FBC76F8196E6B1DCA09E9A9DC9C2115F | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:34:15 | 9002 | 9031 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | LoopyAfternoon     | E9D28D43AD3876695E10CF5E688FDA387C28DB11 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9009 | 9038 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | HerdOfOffense      | 242563B853E1308D50046CCCB227B10E192002B3 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:36:26 | 9007 | 9036 | Tor 0.2.4.27 on Linux     | us   | SoftLayer Technologies Inc.         | LavenderSouth      | 11DDCC89DA6D1B6BCF7D07E98A45B86EC2A60993 | Running V2Dir Valid |
