+---------------------+---------+----------+-------------+---------+----------+-----------------------+-----------------+------------------------------------------+
| first_seen          | contact | nickname | tor_version | or_port | dir_port | as_name               | IP              | fingerprint                              |
| 2020-04-01 16:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 52.177.13.101   | ACEE0D003BFDA58C1CA9C804BCB65CB1E2E22F66 |
| 2020-04-01 23:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 102.37.1.72     | 561D7547F351B0D905144851D2905A0B9E512BCD |
| 2020-04-04 09:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 52.246.254.204  | D39D9A3B41E9DA128C55596461E68002F032E8D4 |
| 2020-04-05 15:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 52.156.128.64   | 71E36A2297175CC6D5DFBF87395074F442A5914F |
| 2020-04-07 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 104.215.50.137  | CF1E74E9EEEAA4302B55CCA227771582DF93B42D |
| 2020-04-08 11:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 52.229.156.42   | F648C8DF118AB448D0C89AF6C56FF57910B2DCE4 |
| 2020-04-09 14:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 13.75.77.143    | 6B63CB9B45D0F505AD3AA51AF8B7FACEA43DCE10 |
| 2020-04-23 14:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 52.233.25.100   | 20629BBF77EC896F2B3EFB01459B1BA773D89E67 |
| 2020-04-24 06:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 13.76.241.32    | 745F083E4249FBD370EAA9432B639BEF45134996 |
| 2020-04-24 16:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 13.72.242.31    | 17979E0552E95BEFF1181EAE0240072518040D2D |
| 2020-04-25 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Microsoft Corporation | 52.165.19.231   | 175CE780279F5A8F130D203CFB3AAC021B46A1C2 |
| 2020-05-01 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | OVH SAS               | 54.38.59.1      | 2298B7EB4E895D770364B961EAC26347E30D4248 |
| 2020-05-13 00:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 134.122.114.57  | 3660D91C4DC0F7009B63539666AD09EE4F474427 |
| 2020-05-13 01:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.225.16.32    | 77B29067C081C57F939D4A5D79D54A25B9D430F4 |
| 2020-05-13 01:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 178.128.114.130 | 9CEDE16CEC7C45BDD12C4D81A6AC194D0F749651 |
| 2020-05-13 03:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.227.96.169   | 584C0B77BDB81DE767DA5BE396DA09C162F32223 |
| 2020-05-13 03:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 139.59.61.253   | DC59FE5F6AE31F825A33A6658A9CC1B862F972D2 |
| 2020-05-13 03:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.227.57.181   | FE622F960EBF190160649BC5ECC4E29150C1CF53 |
| 2020-05-13 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 178.128.126.61  | 9FE91768320057956068D6B75E194DC21CFC3C66 |
| 2020-05-13 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 167.71.80.148   | D0EAB6A2581F1B105F841B96B48A6246CDE6CEB1 |
| 2020-05-13 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.225.112.20   | 65C362597C3AB32C18442D45C061B08167E5F401 |
| 2020-05-13 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 134.209.150.102 | 88FACA5E9FC40D73023FE8C69A9B8A1B3CBFE014 |
| 2020-05-13 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.227.104.249  | E2AB420FC7D9513C79D034BEF9A977635E4E7851 |
| 2020-05-14 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 206.189.149.13  | 75C0854C41CBC730AE67102E110DC17E19CFA78F |
| 2020-05-14 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 138.197.148.108 | 863CD660DE6A4F72D014011BCC66E4A6A195B66F |
| 2020-05-14 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 167.172.125.123 | E1D17BDC053225FB0AF1FD07A3DBDACD7412D6CD |
| 2020-05-14 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.227.100.128  | E2C3E5825E5BBDAFD5A8EF516B3CC600D5ACE12B |
| 2020-05-14 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 159.89.171.180  | E9F2C3FCAA29BD2661FC95005C9C7B95A12B97B7 |
| 2020-05-15 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 161.35.8.144    | A1339868DBA5D6B9794A3110D148D69888E9071D |
| 2020-05-15 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 178.128.115.52  | C64D70E78EBCE7F94E20DDE023EBABF1FCBF6C97 |
| 2020-05-15 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 138.197.152.146 | 26198AAE02986B4D9172637DD7872A1EDF41BD40 |
| 2020-05-15 22:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 64.227.106.153  | 7D28E11CFC86285A22456956C7E37AABD7AEF8BC |
| 2020-05-15 22:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | DigitalOcean, LLC     | 165.227.31.250  | FBC1902DD23861D75ACD0D7BE3A902A94B089861 |
| 2020-05-18 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.41.129    | 6B8F0CE8383E409C83C657D336D00B86C816A5F5 |
| 2020-05-18 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.122.181   | A2166EBF7C49ED87F29823EC3B3FF36D21DBC070 |
| 2020-05-18 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.104.231 | E40C73604308C261D7E7D14D8B45C3DC4EBB52F6 |
| 2020-05-18 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.183.226 | EA610DFAC1517DA267EBB21FD199BA1EC52C1A22 |
| 2020-05-18 21:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.33.44.222    | FB806F6022715C38A516157076025DDE81C37C1C |
| 2020-05-18 22:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.66.188  | 82A92AC28FAD65CDA1C61E144235FAB2CA2F87C7 |
| 2020-05-19 06:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.24.20     | 58D4BC985B8B620EED0AB54DA7AE46E1C100BC0C |
| 2020-05-19 06:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.185.40  | BED8CF8F6E7F05DD51B4753E81BC33189011EF4E |
| 2020-05-19 06:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.124.234   | FC294B234345C437B781D24E6C0710C89FF2D9B6 |
| 2020-05-19 07:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 139.162.47.184  | 0B0EB202D5426A6AAB4617C56696F20D7D97E528 |
| 2020-05-19 07:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.186.42  | 922C9A9348E0FE832E3568CC46ADD964C7C243EB |
| 2020-05-19 07:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.112.225   | B02F0126ABB2BA22371DD96BCBAFA91AD3EB4DDF |
| 2020-05-19 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.121.97    | 43817C3F81C0E0517EBC36DED75A557DD49D2458 |
| 2020-05-19 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 104.237.154.156 | 6D40A3DB3CA5946DF366B63C9EB02FAC03B87BC9 |
| 2020-05-19 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.169.151 | CBA009C609CE5FD517051B4D88C0A59085681085 |
| 2020-05-19 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.4.153   | E23126C928D2DED8CC0C0E7BEC578D7C3DAA3145 |
| 2020-05-19 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 97.107.137.101  | E6E2DA3A7F67886997C40F98EE1F3058FFBDBEDE |
| 2020-05-19 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.177.103 | E80DF22522BA488F81EAD8141C8494BF25265DAD |
| 2020-05-19 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 139.162.113.48  | F9556BE14BBD91ED21A8039E7AC91B64DD8FD983 |
| 2020-05-19 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 23.92.29.204    | FF03BFEBD35222D99F842906565504EBC3ABA87B |
| 2020-05-20 01:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.124.9     | 0D8BE62D326A0724ACED81E264B65E3731AD7AAD |
| 2020-05-20 01:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.25.30   | 241BC5CA1085B12D48574129F4ACED77A7A65377 |
| 2020-05-20 01:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.188.22  | 36FE7851E87423D3684CCC1545662D5E277FF057 |
| 2020-05-20 02:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 173.255.250.203 | 29E156A09E151AF230D682382C723C77D35160D0 |
| 2020-05-20 03:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 173.230.138.32  | A9D89B917949768C0AE20CD008F2F70898BF79A3 |
| 2020-05-20 04:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.36.170  | 86574D634A6EFA80D43177C0DC31EF75027C2C96 |
| 2020-05-20 05:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.104.101.76  | 4EA2B26B15CA18503A8C35330546B077AFA8ADFB |
