
# This file contains one likely family per line (definied by tor relay fingerprints, separated by ',')

+---------------------+----------+----------------------+---------+-----------------+---------+----------+-------------+---------+---------+
| first_seen          | nickname | as_name              | country | IP              | or_port | dir_port | tor_version | contact | efamily |
| 2016-03-24 14:00:00 | Unnamed  | Global Frag Networks | us      | 104.223.141.11  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-24 14:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.158  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-24 14:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.67.132  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 02:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.102.250 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 02:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.67.130  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 02:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.100.158 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 02:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.102.248 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 23.247.32.76    |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.148  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 104.223.137.7   |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 104.148.13.23   |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 104.223.137.11  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.204.245 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.216.247 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.102.246 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 104.148.13.21   |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.204.253 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.204.243 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 104.148.13.25   |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.100.154 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.146  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.152  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.204.249 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.100.152 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.150  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.204.251 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.154  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 23.247.66.66    |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 104.148.13.28   |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 23.228.81.139   |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.32.156  |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 23.247.12.77    |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 107.179.100.156 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 23.247.32.78    |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
| 2016-03-25 03:00:00 | Unnamed  | Global Frag Networks | us      | 192.200.204.247 |    9001 |     9030 | 0.2.7.6     | NULL    | NULL    |
+---------------------+----------+----------------------+---------+-----------------+---------+----------+-------------+---------+---------+
fingerprints:
