https://lists.torproject.org/pipermail/tor-consensus-health/2015-June/005842.html

NOTE: The following table shows relays having the same *nickname* 
as the once reported by doctor, *NOT* having the same fingerprint.
(since fingerprints listed by doctor are not yet available via onionoo, apparently to new)
I had to exclude generic names like default and Unnamed (that results in a total count difference of 6 relays)

Relays were added in mainly 3 blocks:
- 2014-11-17--21
- 2014-12-22--23
- 2015-01-28

Since relays have a new fingerprint but an unchanged config they might lost there datadir for some reason.

+---------------------+---------------------+------+------+-----------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------------------------+
| first_seen          | last_restarted      | orp  | dirp | platform              | cc   | as_name                             | nickname           | fingerprint                              | flags                                 |
| 2014-11-21 03:00:00 | 2015-06-02 22:13:24 | 9002 | 9031 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | Maru               | 8E7CB37AF71530056443ED41368E35D31E76A868 | Fast Running Stable V2Dir Valid       |
| 2014-11-21 03:00:00 | 2015-06-02 22:13:25 | 9001 | 9030 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | kanpai             | 610CD1862C24563A85B000FD254C620D22C26794 | Fast Running V2Dir Valid              |
| 2014-11-21 03:00:00 | 2015-06-02 22:13:24 | 9004 | 9033 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | JungleOfTheUnhappy | FE0200FA73B7F22237DF91353D14D169361230F0 | Fast Running V2Dir Valid              |
| 2014-11-21 03:00:00 | 2015-06-02 22:13:25 | 9007 | 9036 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | RelayOfTheMiracle  | 3F25874C1210D5FD19D2BBF0CAA9392D8D65E3A3 | Fast Running V2Dir Valid              |
| 2014-11-21 03:00:00 | 2015-06-02 22:13:24 | 9005 | 9034 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | EliteRelay         | 9D10ACDA9ECC4A7FE78D43303422524CA7D3443E | Fast Running V2Dir Valid              |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:23 | 9003 | 9032 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | TorScorpion        | 390CBFB0BD2449F720F780B19C03EE12D5F56862 | Fast HSDir Running V2Dir Valid        |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:23 | 9001 | 9030 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | TORtastic          | 333867727FF61950DDABDF65BE0319482442F687 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:19 | 9007 | 9036 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | RelayOfTheMagic    | 5D1F329E76EE7FDD16C395172D1287F0A1556601 | Fast Running Stable V2Dir Valid       |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:20 | 9006 | 9035 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | LoadedDetermined   | A3A0AF783FADE043236FCABD02BB33086EA8A1CC | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:19 | 9004 | 9033 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | TorOfTheFreedom    | 97CDCC68FB28019CE2A4536152465DB1183EC8A0 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:20 | 9009 | 9038 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | RelayUprising      | 6E3A4F089F1F67AF9F8C85069960008261A29023 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:24 | 9002 | 9031 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | AtlantaTORJunction | A718E171A416471A59915E6A855E806E896CB6B2 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-21 04:00:00 | 2015-06-02 23:18:19 | 9005 | 9034 | Tor 0.2.4.27 on Linux | us   | Global Net Access, LLC              | PlethoraTor        | C9CE7364BAF37B20F5D326786AB2CAA44DB7BFED | HSDir Running Stable V2Dir Valid      |
| 2014-12-22 23:00:00 | 2015-06-02 22:17:23 | 9008 | 9037 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | FuzzyPharoah       | 226EADA86BEE49E16C02C53E7CB929CA9078213B | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:53 | 9004 | 9033 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | DanalFrequent      | B9B5494701486D323436F489D4ED461295AFBB99 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-06-02 22:17:23 | 9004 | 9033 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | HackerOfPhysics    | A38746434632545C2E1D979A57A486262F1E1223 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-06-02 22:17:24 | 9007 | 9036 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | LavenderSouth      | 67A233BEA4EE582222DFE12FB187D77141882A90 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:57 | 9006 | 9035 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | ProactiveBox       | 5B0313E85EA9D5FA7237976562E02D4EA4195DC1 | Running V2Dir Valid                   |
| 2014-12-22 23:00:00 | 2015-06-02 22:17:23 | 9009 | 9038 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | HerdOfOffense      | 6539782373C0FE1DC6A7AAA4AA73973C8A599C58 | Fast Running V2Dir Valid              |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:56 | 9005 | 9034 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | MightyMercury      | 4F7C01564E56ADB3761D1C49DA3E96BEA8C70D24 | Fast Running V2Dir Valid              |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:57 | 9003 | 9032 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | CapitalDensity     | CBFC4551A64E6FD8F992D8D6CAB1E652E8A294AF | Fast Running Stable V2Dir Valid       |
| 2014-12-22 23:00:00 | 2015-06-02 22:17:23 | 9003 | 9032 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | OnionOfIncision    | 3F6A7F2209A4F39E90FE53F6E1F283A30B0200D1 | Fast Running Stable V2Dir Valid       |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:56 | 9001 | 9030 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | LocustModest       | A7CC2D8D46C10F99C6A3A447C74BD729F81C40AF | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:58 | 9002 | 9031 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | AllergyOfUniverse  | AA725707DD81280305B50918976E78F9BD9FB654 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:57 | 9010 | 9039 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | ObnoxiousLiar      | FA05F3365511A80B3CF0BFA5552D325105C498B3 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:57 | 9008 | 9037 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | AlongProxy         | F50B413E4EC2AAA60FED61CD2497E0495A49732A | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:57 | 9007 | 9036 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | LimpyPurse         | 1179140DF38E5906A0888DF09E5A93BA34527099 | Fast Running Stable V2Dir Valid       |
| 2014-12-22 23:00:00 | 2015-05-19 06:05:55 | 9009 | 9038 | Tor 0.2.4.24 on Linux | us   | Global Net Access, LLC              | IrateConcept       | BB3714646D2E8FCF193F4FDFBDB1D7F4695ABF87 | HSDir Running Stable V2Dir Valid      |
| 2014-12-22 23:00:00 | 2015-06-02 22:17:23 | 9005 | 9034 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | GapingIntrusion    | D3FD8925D079934E8DD03D2C4BAD6062DA5C89E6 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-23 00:00:00 | 2015-06-02 22:17:24 | 9001 | 9030 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | ChromeAutopsy      | E402134E026B88937CB2509D95CBB16562E78649 | Fast HSDir Running Stable V2Dir Valid |
| 2014-12-23 08:00:00 | 2015-06-03 00:01:37 | 9008 | 9037 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | EstrangedAir       | FD8BA4384B1818BE9EC72F1E2C39AC5CE57423A8 | Fast Running Stable V2Dir Valid       |
| 2014-12-23 08:00:00 | 2015-06-03 00:01:41 | 9006 | 9035 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | LanceHumor         | A1975506CD8DAD1124DD438AE988DE7673B956FA | Fast Running V2Dir Valid              |
| 2014-12-23 08:00:00 | 2015-06-03 00:01:38 | 9004 | 9033 | Tor 0.2.4.27 on Linux | jp   | KDDI CORPORATION                    | RumpFrolic         | 5C7125BA775FC029EF4E3D7D63B3FD4C722AC7D1 | Running V2Dir Valid                   |
| 2015-01-28 09:00:00 | 2015-06-02 22:59:50 | 9003 | 9032 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | FairSharp          | 11D12A7483B0B489125F6C02A37143615C56C8D0 | Fast Running Stable V2Dir Valid       |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9006 | 9035 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | UndefeatedAlloy    | 8FD118DF563B539EB861EE87E1D1FC5BA503C1A0 | Fast Running Stable V2Dir Valid       |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9010 | 9039 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | DerelictWhale      | 65BDFCF95D1A637B355A156A90AACDF246A4D102 | Fast Running Stable V2Dir Valid       |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9009 | 9038 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | NebulaScript       | FF83497F3F7E5FFF8E51A845938F56F6D2F87684 | Fast Running Stable V2Dir Valid       |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9002 | 9031 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | LoopyAfternoon     | F1D3AD0C01D26AD8A20BA21CE10DBB1EA79C961F | Fast Running Stable V2Dir Valid       |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9005 | 9034 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | CinematicPlunger   | 7A4A4E904E5CD1F10BC5D041338990A24B754A1B | Running V2Dir Valid                   |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9001 | 9030 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | GarlicPriest       | C1B1B6A8A0C38DA559474F557B452E233A761D52 | Running Stable V2Dir Valid            |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:50 | 9008 | 9037 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | CrapMage           | 6643BB5ADB5679BE70F8682BDA73782693620D8E | Fast Running V2Dir Valid              |
| 2015-01-28 10:00:00 | 2015-06-02 22:59:49 | 9007 | 9036 | Tor 0.2.4.27 on Linux | us   | SoftLayer Technologies Inc.         | DidacticTerrorism  | 0E94901791F6472ECFB698127E068049F23D312E | Fast Running V2Dir Valid              |
| 2015-02-24 00:00:00 | 2015-05-29 19:43:39 | 9001 | 9030 | Tor 0.2.4.27 on Linux | gb   | British Sky Broadcasting Limited    | Batman             | C9B1BEDFB8CDE1D8FB13389FB4B52F7D6C3EEE3C | HSDir Running Stable V2Dir Valid      |
| 2015-03-27 10:00:00 | 2015-06-02 23:31:30 | 9001 | 9030 | Tor 0.2.4.27 on Linux | fr   | Orange S.A.                         | Chronos            | EE706F899E370B0296672502BC93606C7C478961 | Running V2Dir Valid                   |
| 2015-05-06 23:00:00 | 2015-05-08 10:25:27 | 9001 | NULL | Tor 0.2.5.12 on Linux | de   | STRATO AG                           | Hackosaurusrex     | 891FA4E22A8E0371D659E4A5793EC74E093A8A9C | Exit Fast Guard Running Stable Valid  |
+---------------------+---------------------+------+------+-----------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------------------------+
