+---------------------+---------------------+-------------+------------------------------------------+
| last_restarted      | last_seen           | hibernating | fingerprint                              |
| 2015-08-03 22:00:00 | 2015-08-04 11:00:00 |           1 | F93BA494AD18A2A5C6EBF7EBFCB3B448CF7BCAA2 |
| 2015-08-03 22:00:00 | 2015-08-04 11:00:00 |           1 | C8B696D5D5B92BBD0ED243E04A0CF31E93FC537D |
| 2015-08-03 22:00:00 | 2015-08-04 12:00:00 |           1 | 3FDF60BC5CEB9D022BB218514D5A7361939E41F7 |
| 2015-08-03 22:00:00 | 2015-08-04 12:00:00 |           1 | 95D0B345ECC84FD2BF27A33B2765DF5E077ACDBD |
| 2015-08-03 22:00:00 | 2015-08-04 12:00:00 |           1 | 12F0F33659786AC65B704C36A0A351F107683BE5 |
| 2015-08-03 22:00:00 | 2015-08-04 13:00:00 |           1 | 17F3F160FDA9D0EEE046B6C162F15F5D3166CF75 |
| 2015-08-03 22:00:00 | 2015-08-04 13:00:00 |           1 | 079E117E0B808484646CA7715F52F6FFC831EF8F |
| 2015-08-03 22:00:00 | 2015-08-04 14:00:00 |           1 | 5F3AB68AED87AF3F416032883D2EE591B0FF844B |
| 2015-08-03 22:00:00 | 2015-08-04 14:00:00 |           1 | C509653D4E79A947CB410AFC0C38BB9A10E432D4 |
| 2015-08-03 22:00:00 | 2015-08-04 15:00:00 |           1 | B2DDB9F22A09907A96294C363011855A892C56C8 |
| 2015-08-03 22:00:00 | 2015-08-04 16:00:00 |           1 | 28B97B0744EC778B50800D94B281DF3BA22E3F8A |
| 2015-08-03 22:00:00 | 2015-08-04 16:00:00 |           1 | BB297214F0DD25540043F09BBE2B6C1B13D40333 |
| 2015-08-03 22:00:00 | 2015-08-04 16:00:00 |           1 | C512CA6BBCBCCD827D65D264543A09275BA1B27B |
| 2015-08-03 22:00:00 | 2015-08-04 17:00:00 |           1 | 3A7B3791CF090D46249E8E9DB7B5598F73A1456A |
| 2015-08-03 22:00:00 | 2015-08-04 17:00:00 |           1 | 27596EE218877CDE4A600C079B39CA430A434538 |
| 2015-08-03 22:00:00 | 2015-08-04 18:00:00 |           1 | 37575513B76DB0E2ECEB15AEB78F7DDA028B69C2 |
| 2015-08-03 22:00:00 | 2015-08-04 18:00:00 |           1 | CCE86DC6812A4C9CDB37E60C5AF4B1B567D21BCD |
| 2015-08-03 22:00:00 | 2015-08-04 19:00:00 |           1 | 9B6731479ED6F264B77E8FF4E0070FF9CE95FE96 |
+---------------------+---------------------+-------------+------------------------------------------+
