data as of 2017-02-27 11:00.

Note: Sorted by first and second column (_not_ FP column).

+---------------------+---------------------+--------------+---------+-----------------+-------------+-----------------------------------------------------+-----------+
| first_seen          | last_restarted      | FP           | country | IP              | tor_version | as_name                                             | nickname  |
| 2017-02-26 08:00:00 | 2017-02-26 06:53:53 | 14F0A00ADF0D | de      | 139.162.186.13  | 0.2.8.9     | Linode, LLC                                         | rubbish   |
| 2017-02-26 08:00:00 | 2017-02-26 07:36:29 | 14F0A00ED3B1 | hk      | 210.56.56.189   | 0.2.8.9     | Sun Network (Hong Kong) Limited - HongKong Backbone | battery   |
| 2017-02-26 09:00:00 | 2017-02-26 08:35:00 | 1E20994B4F54 | us      | 45.76.116.130   | 0.2.8.9     | Choopa, LLC                                         | safety    |
| 2017-02-26 09:00:00 | 2017-02-26 08:46:30 | 1E20994CB394 | de      | 139.162.144.68  | 0.2.8.9     | Linode, LLC                                         | blink     |
| 2017-02-26 10:00:00 | 2017-02-26 09:13:34 | 14F0A00D7731 | au      | 45.32.240.23    | 0.2.8.9     | Choopa, LLC                                         | asleep    |
| 2017-02-26 10:00:00 | 2017-02-26 09:25:45 | 14F0A00ADB41 | us      | 45.33.124.76    | 0.2.8.9     | Linode, LLC                                         | mess      |
| 2017-02-26 10:00:00 | 2017-02-26 09:40:18 | 14F0A00AD2A9 | fr      | 108.61.208.127  | 0.2.8.9     | Choopa, LLC                                         | simple    |
| 2017-02-26 13:00:00 | 2017-02-26 12:02:10 | 14F0A00E2806 | fr      | 45.32.148.158   | 0.2.8.9     | Choopa, LLC                                         | sight     |
| 2017-02-27 04:00:00 | 2017-02-27 02:57:06 | 3B25C939D84F | us      | 45.32.77.203    | 0.2.8.9     | Choopa, LLC                                         | flat      |
| 2017-02-27 04:00:00 | 2017-02-27 03:08:17 | 28AA5B00C1A2 | us      | 45.79.207.75    | 0.2.8.9     | Linode, LLC                                         | pump      |
| 2017-02-27 04:00:00 | 2017-02-27 03:37:01 | 3B25C958040F | us      | 45.32.83.91     | 0.2.8.9     | Choopa, LLC                                         | drop      |
| 2017-02-27 04:00:00 | 2017-02-27 03:46:09 | 28AA5B28891E | us      | 104.238.138.240 | 0.2.8.9     | Choopa, LLC                                         | advice    |
| 2017-02-27 05:00:00 | 2017-02-27 04:01:31 | 3B25C8C38A76 | us      | 104.207.147.108 | 0.2.8.9     | Choopa, LLC                                         | pottery   |
| 2017-02-27 05:00:00 | 2017-02-27 04:11:01 | 28AA5A85F7AE | nl      | 108.61.188.69   | 0.2.8.9     | Choopa, LLC                                         | breaking  |
| 2017-02-27 05:00:00 | 2017-02-27 04:16:56 | 3B25C8C30142 | nl      | 45.32.238.153   | 0.2.8.9     | Choopa, LLC                                         | ringbell  |
| 2017-02-27 06:00:00 | 2017-02-27 05:37:38 | 28AA5A844A3A | hk      | 121.127.226.123 | 0.2.8.9     | Sun Network (Hong Kong) Limited - HongKong Backbone | peephole  |
| 2017-02-27 07:00:00 | 2017-02-27 05:56:26 | 3B25C8BD54AD | hk      | 112.213.99.100  | 0.2.8.9     | Sun Network (Hong Kong) Limited - HongKong Backbone | dullman   |
| 2017-02-27 07:00:00 | 2017-02-27 06:14:08 | 28AA5A83174B | hk      | 112.213.109.220 | 0.2.8.9     | Sun Network (Hong Kong) Limited - HongKong Backbone | programme |
| 2017-02-27 07:00:00 | 2017-02-27 06:30:40 | 3B25C8BD5634 | hk      | 121.127.248.124 | 0.2.8.9     | Sun Network (Hong Kong) Limited - HongKong Backbone | cupboard  |
| 2017-02-27 07:00:00 | 2017-02-27 06:42:12 | 28AA5A831404 | kr      | 101.55.74.23    | 0.2.8.9     | Korea Telecom                                       | packet    |
+---------------------+---------------------+--------------+---------+-----------------+-------------+-----------------------------------------------------+-----------+
57 rows
