+---------------------+---------------------+------+------+-----------------------+---------------------------------------------+---------------------+-----------------------+------------------------------------------+
| first_seen          | last_restarted      | orp  | dirp | platform              | as_name                                     | nickname            | primary_ip            | fingerprint                              |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9007 | 9036 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | RelayOfTheMiracle   | 106.186.117.65        | CFAA1F5599FE2BB5ECC04006B4F97A4EE6E2B852 |
| 2015-06-03 19:00:00 | 2015-06-03 18:28:21 | 9008 | 9037 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | PornoLiberation     | 106.186.117.65        | 5959037B50C40BCC6E5AA47D0C68296586B5D4B2 |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9008 | 9037 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | EstrangedAir        | 106.185.39.58         | 6CCE6990E1CD2903BA6E4ED65C8A04146CBF70FB |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9004 | 9033 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | RumpFrolic          | 106.185.31.129        | 39C83F9DF58C3030E98D315F5A04CA40BB6485A8 |
| 2015-06-03 20:00:00 | 2015-06-03 18:32:55 | 9009 | 9038 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | UntilLight          | 106.185.48.214        | E2CA2A9DEDC1307EFD995FBE94263DEA73E0E375 |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9003 | 9032 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | VegetableJockey     | 106.185.31.129        | 8C5E66C44CAA8BB3C201291BB7734165B87A9733 |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9006 | 9035 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | LanceHumor          | 106.185.36.183        | 1BFB7296063BFFB946F5C9D8A0977FA2AB6B3C4D |
| 2015-06-03 20:00:00 | 2015-06-03 18:32:55 | 9007 | 9036 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | PeanutEternity      | 106.185.39.58         | 4934A8B49AD104EC4ECFD3D75B0B91A354790410 |
| 2015-06-03 19:00:00 | 2015-06-03 18:32:55 | 9005 | 9034 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | RiskSlide           | 106.185.36.183        | EDB09E769A552F88C4235E24F2E25FF7AC21505F |
| 2015-06-03 20:00:00 | 2015-06-03 18:32:55 | 9002 | 9031 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | ThrashingCobra      | 106.187.94.69         | FE7796AB74CDD4908875C9D068F6CD0ABA8E9B56 |
| 2015-06-03 20:00:00 | 2015-06-03 18:32:55 | 9001 | 9030 | Tor 0.2.4.27 on Linux | KDDI CORPORATION                            | KillerHumanity      | 106.187.94.69         | 80EC6CE28467D88C77AE04E459E742A936C03F50 |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9008 | 9037 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Soda                | 198.74.62.107         | B1EDD1F9F8ADED4A62DCB5CB75CBE895826CCF1E |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9002 | 9031 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | FreeAndRiseUpAgain  | 97.107.142.218        | 812B0FC000E60CB1AE025EE8A3679865C6378CAF |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9006 | 9035 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Joker               | 198.74.58.206         | 8DF41D9D122ADC83A8B97142FA61DCD1404573AA |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9003 | 9032 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Barnaby             | 66.175.214.149        | 889B930CF628C23633D30068C30C685E0233CEE0 |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9005 | 9034 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Batman              | 198.74.58.206         | CE48D44F07276B98D0FCACDF2D93402745EF61A3 |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9009 | 9038 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Chronos             | 162.216.19.237        | C4A8B06FE82A4742DC78917C471F4D86FC00D903 |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:01 | 9001 | 9030 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | FreeAndRiseUp       | 97.107.142.218        | C6DEA6E50F96BEFCBA8FAEA66B3A93D01CEFF1EF |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:02 | 9007 | 9036 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Scotch              | 198.74.62.107         | E2CE17913733D0603BF9B939537F24C62FE564CF |
| 2015-06-03 19:00:00 | 2015-06-03 18:27:02 | 9004 | 9033 | Tor 0.2.4.27 on Linux | Net Access Corporation                      | Loki                | 66.175.214.149        | CC9A5AF154795AEC18CAF781D50A67C3FE218770 |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9008 | 9037 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | PhotoFearTheOutlaw  | 104.237.131.107       | 0D2E3F3D55077F1F23FC5873FB33110DEEEBCFE3 |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9002 | 9031 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | blahrelayblah2      | 23.239.29.65          | 285AB8E2B158EED4B91A001D372674421CEAC44F |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9005 | 9034 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | BleachSoul          | 104.237.129.78        | 52E5124B93869B42EBA9E650949ABA9EFAD6D47E |
| 2015-06-03 00:00:00 | 2015-06-02 23:08:21 | 9007 | 9036 | Tor 0.2.4.27 on Linux | SoftLayer Technologies Inc.                 | LiberalWhisper      | 104.237.131.107       | A4AE8DB85AEC1C3F581F328F7704326D96535AAF |
