(onionoo data from 2015-05-19 23:00:00)

+---------------------+------+------+-------------------------------------+-----------------------+-----------------+---------------------+------------------------------------------+
| first_seen          | orp  | dirp | as_name                             | platform              | IP              | nickname            | fingerprint                              |
| 2014-11-21 02:00:00 | 9010 | 9039 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 80.85.84.240    | HealthyNevada       | 4B145F8F454837C44447F342784AEB7B6FD1ECD6 |
| 2014-11-21 02:00:00 | 9010 | 9039 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 212.71.249.69   | AuralSecurity       | C6C671621B130E307B784DCAD8B14E9B3E99B5DD |
| 2014-11-21 03:00:00 | 9001 | 9030 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.133.64   | FlyTheFlag          | BD1CB0AC35482A4AD05A632E33A70F15E6445A02 |
| 2014-11-21 03:00:00 | 9001 | 9030 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.38.198  | kanpai              | 610CD1862C24563A85B000FD254C620D22C26794 |
| 2014-11-21 03:00:00 | 9002 | 9031 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.38.198  | Maru                | 8E7CB37AF71530056443ED41368E35D31E76A868 |
| 2014-11-21 03:00:00 | 9003 | 9032 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.92.163  | Scorpio             | E11187D46F443664008D6352CB4C06F5DBADEBCC |
| 2014-11-21 03:00:00 | 9004 | 9033 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.92.163  | JungleOfTheUnhappy  | FE0200FA73B7F22237DF91353D14D169361230F0 |
| 2014-11-21 03:00:00 | 9005 | 9034 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.94.254  | EliteRelay          | 9D10ACDA9ECC4A7FE78D43303422524CA7D3443E |
| 2014-11-21 03:00:00 | 9006 | 9035 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.94.254  | SumoConfidence      | A908D79EA8134DBEAF61D619918DB6EE806F33A9 |
| 2014-11-21 03:00:00 | 9007 | 9036 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.186.117.65  | RelayOfTheMiracle   | 3F25874C1210D5FD19D2BBF0CAA9392D8D65E3A3 |
| 2014-11-21 03:00:00 | 9008 | 9037 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.186.117.65  | PornoLiberation     | 5F56A4482C9D0C6BBA0CBB6437F80C51E4237798 |
| 2014-11-21 03:00:00 | 9009 | 9038 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.185.28.113  | RiotSpiral          | 0C17DECDF163CF18CAE7C24AA53618C51AC2B3FC |
| 2014-11-21 03:00:00 | 9010 | 9039 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.185.28.113  | OpticalRelay        | 88457497A836A2F46BE48B9E4FBE4E5DF53D3398 |
| 2014-11-21 04:00:00 | 9001 | 9030 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 74.207.237.167  | TORtastic           | 333867727FF61950DDABDF65BE0319482442F687 |
| 2014-11-21 04:00:00 | 9002 | 9031 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 74.207.237.167  | AtlantaTORJunction  | A718E171A416471A59915E6A855E806E896CB6B2 |
| 2014-11-21 04:00:00 | 9003 | 9032 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 173.230.134.56  | TorScorpion         | 390CBFB0BD2449F720F780B19C03EE12D5F56862 |
| 2014-11-21 04:00:00 | 9004 | 9033 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 173.230.134.56  | TorOfTheFreedom     | 97CDCC68FB28019CE2A4536152465DB1183EC8A0 |
| 2014-11-21 04:00:00 | 9005 | 9034 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 66.228.62.91    | PlethoraTor         | C9CE7364BAF37B20F5D326786AB2CAA44DB7BFED |
| 2014-11-21 04:00:00 | 9006 | 9035 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 66.228.62.91    | LoadedDetermined    | A3A0AF783FADE043236FCABD02BB33086EA8A1CC |
