+------------------------------------------+---------------------+---------------------+------------------+------------+---------------+---------+----------+-------------+---------+-------------+
| fingerprint                              | first_seen          | last_seen           | as_name          | nickname   | IP            | or_port | dir_port | tor_version | contact | exit_policy |
| 84A6A4EC49404F670B008E46A8B72AAD8D9FC3FC | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 54.93.215.86  |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| 7DB743ADDDE441B4113513060EEF19ED7A30A867 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 54.93.227.150 |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| 4D0321A408BA91CAAA81B98F84547729E1731B47 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 52.59.231.65  |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| B899691B1462BEDE052E56243B03B453655A2760 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 35.158.97.38  |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| F3DF7EAB3EF4EB715D8F612DEE031B8B038BF2E3 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 54.93.232.76  |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| 0C5CC86EED89B4BA4215750F8BE32CC0B39F7E6D | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 54.93.225.223 |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| F05FB7189D3F7E7BABB528C972B204985366A26C | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 54.93.125.222 |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| 08125B393146D79B275A3D8B5F776004519C61A4 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 52.59.250.110 |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| E10722E333A6FDFAD4FF1FB139371DA1744DDE26 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 54.93.42.237  |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
| FB675880B16E2174BA8F7E6E396ADFA1FC49F409 | 2017-04-15 10:00:00 | 2017-04-15 10:00:00 | Amazon.com, Inc. | middleTest | 52.59.194.151 |    9001 |     9030 | 0.2.7.6-dev | NULL    | reject *:*  |
