+----------------+---------------------+---------------------+---------------------+---------+----------+------------------------------------------+
| IP             | first_seen          | last_restarted      | last_seen           | or_port | dir_port | fingerprint                              |
| 137.226.113.21 | 2015-05-01 22:00:00 | 2015-05-01 21:20:18 | 2015-05-04 17:00:00 |    9001 |     9030 | F3EB308355E694A98079E7399001A9970DFF18F8 |
| 137.226.113.19 | 2015-05-01 23:00:00 | 2015-05-01 21:27:05 | 2015-05-04 17:00:00 |    9002 |     9031 | 052FB2D60873D5C9372898610C74FAC1554D1602 |
| 137.226.113.19 | 2015-05-01 23:00:00 | 2015-05-01 21:27:05 | 2015-05-04 17:00:00 |    9001 |     9030 | 019652B6558F20F99283F4621E11B24DAE64B496 |
| 137.226.113.17 | 2015-05-01 23:00:00 | 2015-05-01 21:40:25 | 2015-05-04 17:00:00 |    9002 |     9031 | 16BEE52EF4DA4ABED13ACBA111BAF9BA0377E317 |
| 137.226.113.17 | 2015-05-01 23:00:00 | 2015-05-01 21:40:44 | 2015-05-04 17:00:00 |    9001 |     9030 | 0BFF4660305FE5D147A888FD31D5D72A19F2E7B6 |
| 137.226.113.22 | 2015-05-01 23:00:00 | 2015-05-01 21:49:47 | 2015-05-04 17:00:00 |    9001 |     9030 | 1D6CB1B5B09556BD14E645A653D5D0CF5EAAF5CE |
| 137.226.113.22 | 2015-05-01 23:00:00 | 2015-05-01 21:52:40 | 2015-05-04 17:00:00 |    9002 |     9031 | 1FE3401B1441F66C4E07AFC371B4404DC6FA8A0F |
| 137.226.113.12 | 2015-05-01 23:00:00 | 2015-05-01 22:07:36 | 2015-05-04 17:00:00 |    9001 |     9030 | 27A41A6AEB2C4D4604F3E5F4C69007287D237422 |
| 137.226.113.12 | 2015-05-01 23:00:00 | 2015-05-01 22:08:25 | 2015-05-04 17:00:00 |    9002 |     9031 | 2EF9F0F364B90156F659826E5CCDBB948A9C9BDD |
| 137.226.113.15 | 2015-05-02 00:00:00 | 2015-05-01 22:22:18 | 2015-05-04 17:00:00 |    9002 |     9031 | 3819883A9D76A429847EA65067FC71A66D76F3DD |
| 137.226.113.15 | 2015-05-01 23:00:00 | 2015-05-01 22:33:50 | 2015-05-04 17:00:00 |    9001 |     9030 | 3228EF30C55EF894559DE79C3C60893164B90F05 |
| 137.226.113.16 | 2015-05-01 23:00:00 | 2015-05-01 22:42:31 | 2015-05-04 17:00:00 |    9001 |     9030 | 3E830B53715DF0EFA3F4BC2300E2888E59C804AE |
| 137.226.113.16 | 2015-05-01 23:00:00 | 2015-05-01 22:42:42 | 2015-05-04 17:00:00 |    9002 |     9031 | 42B7F1CE2C931C4C63D8D6D72DC553C285A5EA1F |
| 137.226.113.18 | 2015-05-02 00:00:00 | 2015-05-01 22:54:13 | 2015-05-04 17:00:00 |    9002 |     9031 | 4DC0CCD3BD1E9408744E4F8BC01C999524675E7C |
| 137.226.113.18 | 2015-05-02 00:00:00 | 2015-05-01 23:03:25 | 2015-05-04 17:00:00 |    9001 |     9030 | 480D513A5A8FF1E94E60A81005B4B8C7E465578D |
| 137.226.113.14 | 2015-05-02 00:00:00 | 2015-05-01 23:14:25 | 2015-05-04 17:00:00 |    9001 |     9030 | 579A5155D8113AA806925C39E83B2154A217A372 |
| 137.226.113.14 | 2015-05-02 00:00:00 | 2015-05-01 23:24:09 | 2015-05-04 17:00:00 |    9002 |     9031 | 5DF707CE9FEF5C493AB5D3B4E8EC19E741D7B32B |
+----------------+---------------------+---------------------+---------------------+---------+----------+------------------------------------------+
