+------------+---------------+
| first_seen | bridged added |
| 2015-02-12 |             1 |
| 2015-03-03 |             2 |
| 2015-03-10 |             1 |
| 2015-03-11 |             2 |
| 2015-03-15 |             2 |
| 2015-03-16 |             1 |
| 2015-03-17 |             2 |
| 2015-03-23 |             1 |
| 2015-03-25 |             1 |
| 2015-03-26 |             1 |
| 2015-03-28 |            10 |
| 2015-03-29 |             8 |
| 2015-03-30 |             1 |
| 2015-04-12 |             1 |
| 2015-04-13 |             1 |
| 2015-04-18 |             1 |
| 2015-04-20 |             1 |
| 2015-04-21 |             2 |
| 2015-04-24 |             1 |
| 2015-04-25 |             1 |
| 2015-04-26 |             1 |
| 2015-04-27 |             2 |
| 2015-05-01 |            25 |
| 2015-05-08 |             1 |
| 2015-05-12 |             1 |
| 2015-05-13 |             1 |
| 2015-05-15 |             2 |
| 2015-05-18 |             1 |
| 2015-05-23 |             1 |
| 2015-05-27 |             1 |
| 2015-05-30 |             2 |
| 2015-06-01 |             1 |
| 2015-06-10 |             2 |
| 2015-06-13 |             8 |
| 2015-06-14 |             6 |
| 2015-06-17 |             2 |
| 2015-06-18 |             2 |
| 2015-06-19 |             2 |
| 2015-06-20 |             2 |
| 2015-06-22 |             1 |
| 2015-06-23 |             3 |
| 2015-06-24 |             2 |
| 2015-06-25 |             3 |
| 2015-07-03 |             3 |
| 2015-07-06 |             2 |
| 2015-07-07 |             1 |
| 2015-07-12 |             1 |
| 2015-07-13 |             1 |
| 2015-07-16 |             4 |
| 2015-07-18 |             1 |
| 2015-07-22 |             1 |
| 2015-07-27 |             1 |
| 2015-08-01 |             1 |
| 2015-08-05 |             2 |
| 2015-08-06 |             3 |
| 2015-08-11 |             1 |
| 2015-08-19 |             2 |
| 2015-08-20 |             1 |
| 2015-08-21 |             2 |
| 2015-08-26 |             1 |
| 2015-08-27 |             2 |
| 2015-08-30 |             1 |
| 2015-08-31 |             1 |
| 2015-09-01 |             2 |
| 2015-09-02 |             1 |
| 2015-09-03 |             3 |
| 2015-09-04 |             1 |
| 2015-09-13 |             1 |
| 2015-09-17 |             1 |
| 2015-09-18 |             2 |
| 2015-09-20 |             1 |
| 2015-09-21 |             1 |
| 2015-09-22 |             1 |
| 2015-09-28 |             2 |
| 2015-09-29 |             2 |
| 2015-10-02 |             1 |
| 2015-10-04 |             1 |
| 2015-10-08 |             1 |
| 2015-10-09 |             2 |
| 2015-10-10 |             1 |
| 2015-10-11 |             1 |
| 2015-10-13 |             1 |
| 2015-10-16 |             1 |
| 2015-10-18 |             1 |
| 2015-10-21 |             2 |
| 2015-10-23 |             1 |
| 2015-10-27 |             3 |
| 2015-10-29 |             1 |
| 2015-10-30 |             2 |
| 2015-11-04 |             2 |
| 2015-11-07 |             1 |
| 2015-11-08 |             3 |
| 2015-11-11 |             2 |
| 2015-11-15 |             1 |
| 2015-11-16 |             1 |
| 2015-11-17 |             2 |
| 2015-11-19 |             2 |
| 2015-11-20 |             2 |
| 2015-11-21 |             1 |
| 2015-11-23 |             1 |
| 2015-11-24 |             1 |
| 2015-11-28 |             3 |
| 2015-12-03 |             2 |
| 2015-12-04 |             1 |
| 2015-12-05 |             2 |
| 2015-12-06 |             1 |
| 2015-12-09 |             1 |
| 2015-12-13 |             1 |
| 2015-12-18 |             2 |
| 2015-12-21 |             1 |
| 2015-12-23 |             1 |
| 2015-12-25 |             2 |
| 2015-12-26 |             2 |
| 2015-12-27 |             2 |
| 2015-12-28 |             1 |
| 2015-12-30 |             2 |
| 2015-12-31 |             1 |
| 2016-01-01 |             2 |
| 2016-01-02 |             2 |
| 2016-01-03 |             1 |
| 2016-01-04 |             1 |
| 2016-01-05 |             1 |
| 2016-01-10 |             1 |
| 2016-01-13 |             3 |
| 2016-01-14 |             1 |
| 2016-01-15 |             1 |
| 2016-01-17 |           251 | <<<<<<<<<<
| 2016-01-18 |           232 | <<<<<<<<<<
| 2016-01-21 |             2 |
| 2016-01-22 |             1 |
| 2016-01-24 |           253 | <<<<<<<<<<
| 2016-01-27 |             1 |
| 2016-01-29 |             1 |
| 2016-02-01 |             1 |
| 2016-02-08 |             1 |
| 2016-02-11 |             2 |
| 2016-02-15 |             1 |
| 2016-02-16 |             1 |
| 2016-02-17 |             2 |
| 2016-02-18 |             1 |
| 2016-02-19 |             1 |
| 2016-02-21 |             4 |
| 2016-02-23 |             3 |
| 2016-02-25 |             1 |
| 2016-02-26 |             2 |
| 2016-03-04 |             2 |
| 2016-03-06 |             1 |
| 2016-03-07 |             2 |
| 2016-03-08 |             1 |
| 2016-03-13 |             1 |
| 2016-03-15 |             1 |
| 2016-03-18 |             2 |
| 2016-03-21 |             2 |
| 2016-03-22 |             1 |
| 2016-03-25 |             1 |
| 2016-03-26 |             1 |
| 2016-03-28 |             1 |
| 2016-03-31 |             1 |
| 2016-04-03 |             1 |
| 2016-04-05 |             1 |
| 2016-04-07 |             1 |
| 2016-04-11 |             1 |
| 2016-04-16 |             1 |
| 2016-04-20 |             1 |
| 2016-04-22 |             2 |
| 2016-04-24 |             2 |
| 2016-05-01 |             2 |
| 2016-05-02 |             1 |
| 2016-05-03 |             1 |
| 2016-05-04 |             1 |
| 2016-05-07 |             1 |
| 2016-05-08 |             1 |
| 2016-05-11 |             2 |
| 2016-05-13 |             2 |
| 2016-05-15 |             1 |
| 2016-05-17 |             1 |
| 2016-05-18 |             1 |
| 2016-05-22 |             2 |
| 2016-05-23 |             3 |
| 2016-05-25 |             1 |
| 2016-05-27 |             2 |
| 2016-05-30 |             2 |
| 2016-06-01 |             2 |
| 2016-06-03 |             1 |
| 2016-06-04 |             2 |
| 2016-06-05 |             1 |
| 2016-06-08 |             1 |
| 2016-06-10 |             1 |
| 2016-06-11 |             4 |
| 2016-06-16 |             1 |
| 2016-06-19 |             2 |
| 2016-06-20 |             2 |
| 2016-06-21 |             2 |
| 2016-06-23 |             2 |
| 2016-06-25 |             1 |
| 2016-06-27 |             2 |
| 2016-06-28 |             2 |
| 2016-06-30 |             2 |
| 2016-07-01 |             2 |
| 2016-07-03 |             2 |
| 2016-07-04 |             1 |
| 2016-07-05 |             1 |
| 2016-07-06 |             2 |
| 2016-07-07 |             1 |
| 2016-07-08 |             1 |
| 2016-07-11 |             1 |
| 2016-07-12 |             1 |
| 2016-07-13 |             1 |
| 2016-07-14 |             1 |
| 2016-07-16 |             1 |
| 2016-07-18 |             3 |
| 2016-07-19 |             4 |
| 2016-07-20 |             2 |
| 2016-07-23 |             1 |
| 2016-07-24 |             1 |
| 2016-07-26 |             1 |
| 2016-07-28 |             2 |
| 2016-07-29 |             1 |
| 2016-07-30 |             2 |
| 2016-07-31 |             1 |
| 2016-08-01 |             1 |
| 2016-08-03 |             1 |
| 2016-08-05 |             3 |
| 2016-08-06 |             3 |
| 2016-08-07 |             1 |
| 2016-08-08 |             3 |
| 2016-08-09 |             2 |
| 2016-08-11 |             1 |
| 2016-08-16 |             3 |
| 2016-08-18 |             3 |
| 2016-08-19 |             1 |
| 2016-08-20 |             3 |
| 2016-08-21 |             4 |
| 2016-08-23 |             3 |
| 2016-08-24 |             3 |
| 2016-08-25 |             2 |
| 2016-08-26 |             1 |
| 2016-08-27 |             1 |
| 2016-08-29 |            10 |
| 2016-08-30 |             2 |
| 2016-08-31 |             1 |
| 2016-09-02 |             1 |
| 2016-09-03 |             2 |
| 2016-09-04 |             5 |
| 2016-09-05 |             2 |
| 2016-09-06 |             2 |
| 2016-09-07 |             3 |
| 2016-09-08 |             4 |
| 2016-09-10 |             2 |
| 2016-09-11 |             1 |
| 2016-09-12 |             2 |
| 2016-09-15 |             3 |
| 2016-09-17 |             1 |
| 2016-09-18 |             3 |
| 2016-09-19 |             1 |
| 2016-09-20 |             1 |
| 2016-09-21 |             2 |
| 2016-09-22 |             1 |
| 2016-09-23 |             2 |
| 2016-09-24 |             3 |
| 2016-09-25 |             3 |
| 2016-09-26 |             1 |
| 2016-09-27 |             1 |
| 2016-09-28 |             3 |
